SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,REGION,YEAR,VALUE
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Africa,2030,30.764
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Africa,2035,32.921
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Africa,2050,46.926
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Middle East,2010,26.145
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Middle East,2022,35.031
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Middle East,2023,35.62
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Middle East,2030,40.639
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Middle East,2035,44.283
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Middle East,2050,55.937
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Middle East,2030,39.605
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Middle East,2035,44.148
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Middle East,2050,54.13
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Eurasia,2010,35.763
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Eurasia,2022,42.197
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Eurasia,2023,42.724
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Eurasia,2030,43.076
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Eurasia,2035,43.272
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Eurasia,2050,44.11
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Eurasia,2030,40.505
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Eurasia,2035,39.096
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Eurasia,2050,37.531
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Russia,2010,29.091
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Russia,2022,33.938
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Russia,2023,34.382
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Russia,2030,33.987
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Russia,2035,33.664
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Russia,2050,32.683
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Russia,2030,32.194
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Russia,2035,30.81
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Russia,2050,28.352
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Asia Pacific,2010,205.871
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Asia Pacific,2022,283.087
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Asia Pacific,2023,296.996
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Asia Pacific,2030,321.85
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Asia Pacific,2035,324.545
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Asia Pacific,2050,337.984
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Asia Pacific,2030,306.875
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Asia Pacific,2035,296.015
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Asia Pacific,2050,293.83
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,China,2010,107.321
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,China,2022,160.133
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,China,2023,170.412
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,China,2030,178.012
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,China,2035,171.414
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,China,2050,161.979
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,China,2030,171.058
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,China,2035,157.848
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,China,2050,141.16
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,India,2010,27.696
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,India,2022,42.724
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,India,2023,45.353
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,India,2030,55.785
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,India,2035,60.7
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,India,2050,70.54
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,India,2030,50.586
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,India,2035,51.962
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,India,2050,61.906
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Japan,2010,20.921
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Japan,2022,16.432
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Japan,2023,16.424
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Japan,2030,15.032
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Japan,2035,13.995
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Japan,2050,12.316
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Japan,2030,14.722
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Japan,2035,13.415
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Japan,2050,10.912
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Southeast Asia,2010,21.462
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Southeast Asia,2022,31.47
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Southeast Asia,2023,32.996
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Southeast Asia,2030,39.555
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Southeast Asia,2035,43.802
Stated Policies Scenario,Energy,Total,Total energy supply,EJ,Southeast Asia,2050,54.225
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Southeast Asia,2030,38.872
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Southeast Asia,2035,40.608
Announced Pledges Scenario,Energy,Total,Total energy supply,EJ,Southeast Asia,2050,45.163
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2010,43.155
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2022,74.381
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2023,77.934
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2030,120.062
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2035,152.936
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,World,2050,240.591
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,World,2030,139.519
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,World,2035,196.542
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,World,2050,336.251
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,North America,2010,8.828
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,North America,2022,12.674
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,North America,2023,12.637
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,North America,2030,17.901
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,North America,2035,22.133
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,North America,2050,33.346
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,North America,2030,24.152
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,North America,2035,34.627
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,North America,2050,51.942
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,United States,2010,6.627
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,United States,2022,10.004
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,United States,2023,10.086
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,United States,2030,14.408
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,United States,2035,18.214
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,United States,2050,28.073
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,United States,2030,19.932
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,United States,2035,29.383
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,United States,2050,43.792
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Central and South America,2010,7.66
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Central and South America,2022,9.859
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Central and South America,2023,10.322
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Central and South America,2030,12.72
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Central and South America,2035,14.383
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Central and South America,2050,21.632
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Central and South America,2030,14.498
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Central and South America,2035,18.174
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Central and South America,2050,29.22
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Brazil,2010,5.621
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Brazil,2022,6.944
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Brazil,2023,7.355
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Brazil,2030,8.986
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Brazil,2035,9.804
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Brazil,2050,13.449
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Brazil,2030,9.946
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Brazil,2035,11.897
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Brazil,2050,16.651
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Europe,2010,9.899
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Europe,2022,14.433
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Europe,2023,15.084
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Europe,2030,21.507
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Europe,2035,25.538
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Europe,2050,31.944
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Europe,2030,24.375
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Europe,2035,30.297
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Europe,2050,37.822
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,European Union,2010,7.754
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,European Union,2022,10.667
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,European Union,2023,11.217
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,European Union,2030,16.024
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,European Union,2035,19.113
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,European Union,2050,23.616
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,European Union,2030,18.038
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,European Union,2035,22.349
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,European Union,2050,26.924
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Africa,2010,3.611
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Africa,2022,5.649
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Africa,2023,5.832
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Africa,2030,7.68
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Africa,2035,9.486
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Africa,2050,15.756
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Africa,2030,6.902
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Africa,2035,10.227
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Africa,2050,25.616
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Middle East,2010,0.105
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Middle East,2022,0.212
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Middle East,2023,0.266
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Middle East,2030,1.341
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Middle East,2035,2.375
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Middle East,2050,6.442
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Middle East,2030,1.875
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Middle East,2035,5.075
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Middle East,2050,15.444
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Eurasia,2010,0.978
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Eurasia,2022,1.167
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Eurasia,2023,1.191
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Eurasia,2030,1.45
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Eurasia,2035,1.696
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Eurasia,2050,2.45
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Eurasia,2030,1.759
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Eurasia,2035,2.436
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Eurasia,2050,4.444
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Russia,2010,0.741
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Russia,2022,0.9
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Russia,2023,0.917
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Russia,2030,1.063
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Russia,2035,1.21
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Russia,2050,1.69
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Russia,2030,1.235
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Russia,2035,1.533
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Russia,2050,2.318
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Asia Pacific,2010,12.076
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Asia Pacific,2022,30.361
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Asia Pacific,2023,32.576
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Asia Pacific,2030,57.11
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Asia Pacific,2035,76.569
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Asia Pacific,2050,126.315
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Asia Pacific,2030,64.775
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Asia Pacific,2035,93.638
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Asia Pacific,2050,167.801
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,China,2010,4.565
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,China,2022,14.966
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,China,2023,16.146
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,China,2030,31.822
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,China,2035,43.506
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,China,2050,67.949
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,China,2030,35.312
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,China,2035,50.882
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,China,2050,80.408
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,India,2010,2.72
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,India,2022,6.266
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,India,2023,6.631
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,India,2030,11.018
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,India,2035,14.694
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,India,2050,26.974
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,India,2030,11.423
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,India,2035,16.545
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,India,2050,35.673
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Japan,2010,0.77
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Japan,2022,1.218
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Japan,2023,1.378
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Japan,2030,2.017
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Japan,2035,2.538
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Japan,2050,3.459
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Japan,2030,2.324
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Japan,2035,3.263
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Japan,2050,4.811
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Southeast Asia,2010,2.76
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Southeast Asia,2022,5.814
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Southeast Asia,2023,6.209
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Southeast Asia,2030,8.216
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Southeast Asia,2035,10.282
Stated Policies Scenario,Energy,Renewables,Total energy supply,EJ,Southeast Asia,2050,17.629
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Southeast Asia,2030,10.413
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Southeast Asia,2035,14.818
Announced Pledges Scenario,Energy,Renewables,Total energy supply,EJ,Southeast Asia,2050,29.526
Stated Policies Scenario,Energy,Oil,Supply,Million barrels per day,World,2010,85.1
Stated Policies Scenario,Energy,Oil,Supply,Million barrels per day,World,2022,97.4
Stated Policies Scenario,Energy,Oil,Supply,Million barrels per day,World,2023,99.2
Stated Policies Scenario,Energy,Oil,Supply,Million barrels per day,World,2030,101.7
Stated Policies Scenario,Energy,Oil,Supply,Million barrels per day,World,2035,99.1
Stated Policies Scenario,Energy,Oil,Supply,Million barrels per day,World,2050,93.1
Announced Pledges Scenario,Energy,Oil,Supply,Million barrels per day,World,2030,92.8
Announced Pledges Scenario,Energy,Oil,Supply,Million barrels per day,World,2035,82
Announced Pledges Scenario,Energy,Oil,Supply,Million barrels per day,World,2050,53.7
Stated Policies Scenario,Energy,Oil,Processing gains,Million barrels per day,World,2010,2.1
Stated Policies Scenario,Energy,Oil,Processing gains,Million barrels per day,World,2022,2.3
Stated Policies Scenario,Energy,Oil,Processing gains,Million barrels per day,World,2023,2.4
Stated Policies Scenario,Energy,Oil,Processing gains,Million barrels per day,World,2030,2.5
Stated Policies Scenario,Energy,Oil,Processing gains,Million barrels per day,World,2035,2.6
Stated Policies Scenario,Energy,Oil,Processing gains,Million barrels per day,World,2050,2.8
Announced Pledges Scenario,Energy,Oil,Processing gains,Million barrels per day,World,2030,2.4
Announced Pledges Scenario,Energy,Oil,Processing gains,Million barrels per day,World,2035,2.2
Announced Pledges Scenario,Energy,Oil,Processing gains,Million barrels per day,World,2050,1.6
Stated Policies Scenario,Energy,Oil,Production,Million barrels per day,World,2010,83.2
Stated Policies Scenario,Energy,Oil,Production,Million barrels per day,World,2022,95.1
Stated Policies Scenario,Energy,Oil,Production,Million barrels per day,World,2023,96.9
Stated Policies Scenario,Energy,Oil,Production,Million barrels per day,World,2030,99.2
Stated Policies Scenario,Energy,Oil,Production,Million barrels per day,World,2035,96.5
Stated Policies Scenario,Energy,Oil,Production,Million barrels per day,World,2050,90.3
Announced Pledges Scenario,Energy,Oil,Production,Million barrels per day,World,2030,90.4
Announced Pledges Scenario,Energy,Oil,Production,Million barrels per day,World,2035,79.9
Announced Pledges Scenario,Energy,Oil,Production,Million barrels per day,World,2050,52.1
Stated Policies Scenario,Energy,Conventional crude oil,Production,Million barrels per day,World,2010,66.8
Stated Policies Scenario,Energy,Conventional crude oil,Production,Million barrels per day,World,2022,62.9
Stated Policies Scenario,Energy,Conventional crude oil,Production,Million barrels per day,World,2023,62.7
Stated Policies Scenario,Energy,Conventional crude oil,Production,Million barrels per day,World,2030,59.4
Stated Policies Scenario,Energy,Conventional crude oil,Production,Million barrels per day,World,2035,57
Stated Policies Scenario,Energy,Conventional crude oil,Production,Million barrels per day,World,2050,54.3
Announced Pledges Scenario,Energy,Conventional crude oil,Production,Million barrels per day,World,2030,54.9
Announced Pledges Scenario,Energy,Conventional crude oil,Production,Million barrels per day,World,2035,46.6
Announced Pledges Scenario,Energy,Conventional crude oil,Production,Million barrels per day,World,2050,28.9
Stated Policies Scenario,Energy,Tight oil,Production,Million barrels per day,World,2010,0.7
Stated Policies Scenario,Energy,Tight oil,Production,Million barrels per day,World,2022,8.2
Stated Policies Scenario,Energy,Tight oil,Production,Million barrels per day,World,2023,9.1
Stated Policies Scenario,Energy,Tight oil,Production,Million barrels per day,World,2030,11.2
Stated Policies Scenario,Energy,Tight oil,Production,Million barrels per day,World,2035,11.8
Stated Policies Scenario,Energy,Tight oil,Production,Million barrels per day,World,2050,10.7
Announced Pledges Scenario,Energy,Tight oil,Production,Million barrels per day,World,2030,10.8
Announced Pledges Scenario,Energy,Tight oil,Production,Million barrels per day,World,2035,10.4
Announced Pledges Scenario,Energy,Tight oil,Production,Million barrels per day,World,2050,7.2
