"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2030,32.66
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2035,35.155
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2050,43.5
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2030,32.336
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2035,34.74
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Central and South America",2050,39.992
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2010,12.135
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2022,13.892
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2023,14.378
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2030,16.138
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2035,17.246
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Brazil",2050,21.25
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Brazil",2030,16.227
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Brazil",2035,17.797
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Brazil",2050,20.421
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2010,88.973
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2022,76.996
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2023,74.35
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2030,73.024
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2035,70.225
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Europe",2050,65.47
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Europe",2030,70.403
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Europe",2035,65.072
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Europe",2050,59.291
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2010,64.174
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2022,55.431
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2023,52.969
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2030,50.924
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2035,48.012
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","European Union",2050,42.833
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","European Union",2030,49.21
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","European Union",2035,44.939
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","European Union",2050,40.161
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2010,25.407
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2022,33.525
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2023,33.938
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2030,36.926
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2035,39.781
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Africa",2050,51.665
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Africa",2030,30.764
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Africa",2035,32.921
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Africa",2050,46.926
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2010,26.145
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2022,35.031
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2023,35.62
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2030,40.639
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2035,44.283
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Middle East",2050,55.937
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Middle East",2030,39.605
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Middle East",2035,44.148
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Middle East",2050,54.13
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Eurasia",2010,35.763
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Eurasia",2022,42.197
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Eurasia",2023,42.724
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Eurasia",2030,43.076
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Eurasia",2035,43.272
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Eurasia",2050,44.11
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Eurasia",2030,40.505
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Eurasia",2035,39.096
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Eurasia",2050,37.531
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Russia",2010,29.091
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Russia",2022,33.938
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Russia",2023,34.382
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Russia",2030,33.987
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Russia",2035,33.664
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Russia",2050,32.683
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Russia",2030,32.194
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Russia",2035,30.81
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Russia",2050,28.352
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Asia Pacific",2010,205.871
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Asia Pacific",2022,283.087
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Asia Pacific",2023,296.996
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Asia Pacific",2030,321.85
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Asia Pacific",2035,324.545
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Asia Pacific",2050,337.984
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Asia Pacific",2030,306.875
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Asia Pacific",2035,296.015
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Asia Pacific",2050,293.83
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","China",2010,107.321
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","China",2022,160.133
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","China",2023,170.412
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","China",2030,178.012
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","China",2035,171.414
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","China",2050,161.979
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","China",2030,171.058
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","China",2035,157.848
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","China",2050,141.16
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","India",2010,27.696
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","India",2022,42.724
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","India",2023,45.353
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","India",2030,55.785
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","India",2035,60.7
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","India",2050,70.54
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","India",2030,50.586
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","India",2035,51.962
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","India",2050,61.906
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Japan",2010,20.921
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Japan",2022,16.432
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Japan",2023,16.424
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Japan",2030,15.032
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Japan",2035,13.995
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Japan",2050,12.316
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Japan",2030,14.722
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Japan",2035,13.415
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Japan",2050,10.912
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Southeast Asia",2010,21.462
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Southeast Asia",2022,31.47
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Southeast Asia",2023,32.996
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Southeast Asia",2030,39.555
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Southeast Asia",2035,43.802
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Total","Total energy supply","EJ","Southeast Asia",2050,54.225
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Southeast Asia",2030,38.872
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Southeast Asia",2035,40.608
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Total","Total energy supply","EJ","Southeast Asia",2050,45.163
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2010,43.155
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2022,74.381
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2023,77.934
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2030,120.062
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2035,152.936
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","World",2050,240.591
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","World",2030,139.519
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","World",2035,196.542
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","World",2050,336.251
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","North America",2010,8.828
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","North America",2022,12.674
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","North America",2023,12.637
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","North America",2030,17.901
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","North America",2035,22.133
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","North America",2050,33.346
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","North America",2030,24.152
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","North America",2035,34.627
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","North America",2050,51.942
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","United States",2010,6.627
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","United States",2022,10.004
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","United States",2023,10.086
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","United States",2030,14.408
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","United States",2035,18.214
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","United States",2050,28.073
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","United States",2030,19.932
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","United States",2035,29.383
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","United States",2050,43.792
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Central and South America",2010,7.66
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Central and South America",2022,9.859
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Central and South America",2023,10.322
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Central and South America",2030,12.72
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Central and South America",2035,14.383
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Central and South America",2050,21.632
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Central and South America",2030,14.498
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Central and South America",2035,18.174
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Central and South America",2050,29.22
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Brazil",2010,5.621
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Brazil",2022,6.944
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Brazil",2023,7.355
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Brazil",2030,8.986
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Brazil",2035,9.804
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Brazil",2050,13.449
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Brazil",2030,9.946
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Brazil",2035,11.897
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Brazil",2050,16.651
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Europe",2010,9.899
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Europe",2022,14.433
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Europe",2023,15.084
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Europe",2030,21.507
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Europe",2035,25.538
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Europe",2050,31.944
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Europe",2030,24.375
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Europe",2035,30.297
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Europe",2050,37.822
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","European Union",2010,7.754
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","European Union",2022,10.667
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","European Union",2023,11.217
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","European Union",2030,16.024
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","European Union",2035,19.113
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","European Union",2050,23.616
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","European Union",2030,18.038
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","European Union",2035,22.349
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","European Union",2050,26.924
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Africa",2010,3.611
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Africa",2022,5.649
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Africa",2023,5.832
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Africa",2030,7.68
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Africa",2035,9.486
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Africa",2050,15.756
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Africa",2030,6.902
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Africa",2035,10.227
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Africa",2050,25.616
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Middle East",2010,0.105
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Middle East",2022,0.212
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Middle East",2023,0.266
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Middle East",2030,1.341
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Middle East",2035,2.375
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Middle East",2050,6.442
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Middle East",2030,1.875
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Middle East",2035,5.075
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Middle East",2050,15.444
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Eurasia",2010,0.978
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Eurasia",2022,1.167
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Eurasia",2023,1.191
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Eurasia",2030,1.45
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Eurasia",2035,1.696
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Eurasia",2050,2.45
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Eurasia",2030,1.759
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Eurasia",2035,2.436
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Eurasia",2050,4.444
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Russia",2010,0.741
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Russia",2022,0.9
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Russia",2023,0.917
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Russia",2030,1.063
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Russia",2035,1.21
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Russia",2050,1.69
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Russia",2030,1.235
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Russia",2035,1.533
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Russia",2050,2.318
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Asia Pacific",2010,12.076
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Asia Pacific",2022,30.361
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Asia Pacific",2023,32.576
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Asia Pacific",2030,57.11
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Asia Pacific",2035,76.569
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","Asia Pacific",2050,126.315
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Asia Pacific",2030,64.775
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Asia Pacific",2035,93.638
"World Energy Outlook 2024","Announced Pledges Scenario","Energy","Renewables","Total energy supply","EJ","Asia Pacific",2050,167.801
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","China",2010,4.565
"World Energy Outlook 2024","Stated Policies Scenario","Energy","Renewables","Total energy supply","EJ","China",2022,14.966
